accuracy,F1_Score,FPR,AUC,,,,
0.949,0.852,0.123,0.991,56138,1447,2126,10282
0.945,0.844,0.099,0.992,55595,1163,2714,10526
0.956,0.873,0.091,0.994,56181,1066,2048,10703
0.957,0.876,0.089,0.994,56255,1050,1993,10700
0.936,0.816,0.159,0.985,55700,1862,2590,9846
0.926,0.785,0.195,0.98,55429,2277,2879,9413
0.935,0.815,0.148,0.986,55442,1737,2815,10004
0.966,0.903,0.05,0.997,56509,588,1794,11107
0.946,0.845,0.124,0.99,56004,1446,2320,10228
0.945,0.845,0.1,0.992,55624,1162,2700,10507
,,,,,,,
0.9461,0.8454,0.1178,0.9901,55887.7,1379.8,2397.9,10331.6
